YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
2021,7,20,98.88,2.21,3.17,1.23,1.95,193.88,3.15,5.19,1.18,4.01,193.5
2021,7,21,98.79,2.2,2.74,1.6,1.15,190.31,3.25,4.73,1.76,2.98,191.38
2021,7,22,98.63,2.64,3.98,1.7,2.28,193.0,3.83,5.84,1.86,3.99,193.94
2021,7,23,98.47,2.77,3.95,1.95,2.0,185.88,4.05,5.52,2.41,3.11,187.06
2021,7,24,98.46,2.31,3.72,1.45,2.27,162.81,3.2,4.66,1.54,3.12,162.38
2021,7,25,98.37,2.16,4.0,1.13,2.87,88.69,2.73,4.45,1.68,2.77,87.88
2021,7,26,97.86,3.2,4.94,1.28,3.66,84.38,4.45,5.7,2.24,3.46,82.69
2021,7,27,97.14,4.47,8.83,1.22,7.62,224.88,6.37,11.55,2.39,9.16,224.94
2021,7,28,97.34,3.65,6.34,0.87,5.46,201.75,4.88,8.11,1.09,7.02,203.38
2021,7,29,97.53,5.47,6.55,4.4,2.16,198.94,7.26,8.34,5.19,3.15,200.56
2021,7,30,97.54,3.08,4.52,1.59,2.93,172.25,4.55,7.29,2.84,4.45,173.44
2021,7,31,97.62,1.76,2.78,0.92,1.87,107.94,2.3,3.38,1.28,2.09,105.5
2021,8,1,97.69,3.5,5.7,1.59,4.12,207.62,4.92,7.1,2.4,4.7,209.12
2021,8,2,98.19,2.65,3.88,1.88,2.01,163.25,3.91,5.84,2.12,3.72,163.88
2021,8,3,98.62,4.87,6.7,2.8,3.9,179.75,6.88,8.07,5.55,2.52,180.81
2021,8,4,98.47,2.74,3.95,1.74,2.21,187.06,4.02,6.45,1.84,4.62,189.0
2021,8,5,98.18,1.92,3.11,0.5,2.61,152.06,2.43,3.52,0.65,2.88,150.56
2021,8,6,98.07,2.22,3.91,0.91,3.01,190.38,2.97,4.7,1.25,3.45,175.31
2021,8,7,97.92,2.98,4.66,1.57,3.09,87.69,4.07,6.83,2.59,4.23,88.25
2021,8,8,97.48,6.26,10.7,1.12,9.59,177.94,8.31,13.3,1.59,11.71,119.12
2021,8,9,97.28,10.8,14.55,3.57,10.98,201.38,14.21,19.24,5.89,13.35,203.31
2021,8,10,97.4,6.81,11.95,1.76,10.19,196.56,9.35,16.12,3.21,12.91,198.94
2021,8,11,98.43,2.0,3.7,0.46,3.23,156.31,3.04,5.04,0.51,4.53,169.94
2021,8,12,98.43,2.56,4.92,0.77,4.15,184.94,3.66,6.26,1.22,5.04,187.75
2021,8,13,98.27,4.98,10.01,3.42,6.59,204.88,6.73,13.95,4.13,9.81,206.56
2021,8,14,97.84,8.67,13.23,1.16,12.06,222.62,11.66,16.66,2.04,14.62,223.88
2021,8,15,98.39,3.62,8.1,1.02,7.09,109.12,4.63,9.77,1.13,8.64,106.81
2021,8,16,98.98,3.37,4.92,1.38,3.53,30.06,4.59,5.73,2.5,3.24,30.44
2021,8,17,98.82,3.53,6.8,1.27,5.53,131.56,4.8,9.8,2.0,7.8,133.25
2021,8,18,98.59,7.91,10.2,6.07,4.13,203.38,10.56,12.7,8.67,4.02,204.69
2021,8,19,98.94,5.88,7.63,4.33,3.31,211.62,8.08,9.53,6.25,3.28,212.56
2021,8,20,99.08,4.84,6.12,3.88,2.25,212.31,6.91,7.63,5.37,2.27,213.31
2021,8,21,98.86,4.27,5.41,3.09,2.33,215.25,6.12,7.7,4.41,3.28,216.81
2021,8,22,98.54,4.43,5.51,1.73,3.77,221.19,6.4,6.96,2.92,4.04,222.81
2021,8,23,98.35,2.15,4.15,0.84,3.31,124.88,3.09,5.0,1.12,3.87,124.56
2021,8,24,98.36,3.43,5.62,1.39,4.23,154.0,4.66,8.22,2.23,5.99,155.88
2021,8,25,98.26,3.59,5.41,1.62,3.8,230.44,5.07,8.09,2.48,5.62,232.19
2021,8,26,98.52,2.07,3.05,0.05,3.01,196.75,3.0,4.43,0.08,4.35,182.62
2021,8,27,98.53,2.66,4.14,0.97,3.17,118.75,3.84,4.83,1.59,3.23,118.12
2021,8,28,98.41,1.65,3.12,0.2,2.93,199.81,2.26,4.25,0.23,4.03,236.94
2021,8,29,98.59,3.34,4.64,1.45,3.2,86.44,4.73,6.34,2.38,3.96,86.19
2021,8,30,98.56,2.63,4.51,1.11,3.4,215.81,3.61,5.69,1.91,3.78,218.81
2021,8,31,98.68,2.75,3.91,1.64,2.27,98.19,4.03,6.43,2.09,4.34,97.81
2021,9,1,98.5,2.81,3.9,1.66,2.25,64.56,3.64,4.83,1.24,3.58,64.75
2021,9,2,98.17,4.08,6.47,1.47,5.01,56.12,5.2,8.01,2.13,5.88,56.81
